alert_id,header,agency,date,routes_gold,routes_llm,routes_correct,routes_missed,routes_extra,directions_gold,directions_llm,directions_correct,directions_missed,directions_extra,relations_gold,relations_llm,relations_correct,relations_missed,relations_extra,has_route_error,has_direction_error,has_relation_error
107766,"E F M R trains are rerouted and experiencing extensive delays in both directions because of a network communications issue in Queens.

Some Jamaica-bound E F trains are running local from Queens Plaza and 21 St-Queensbridge to Jackson Hts-Roosevelt Av.

Some Forest Hills-bound M trains will end at Myrtle Av, Delancey St-Essex St, or Chambers St on the J line and turn back around for Metropolitan Av-bound service.

Some Forest Hills-bound R trains will end at Court St and turn back around for Bay Ridge-bound service.

For alternative service, consider Q60 shuttle bus icon or see buses near you at bustime.mta.info.",NYCT Subway,12/02/2021 01:00:00 AM,"[""E"", ""F"", ""M"", ""Q60"", ""R""]","[""E"", ""F"", ""M"", ""R""]","[""E"", ""F"", ""M"", ""R""]","[""Q60""]",[],"[""BOTH_DIRECTIONS"", ""PLACE_BOUND""]","[""BOTH_DIRECTIONS"", ""PLACE_BOUND""]","[""BOTH_DIRECTIONS"", ""PLACE_BOUND""]",[],[],"[""E->BOTH_DIRECTIONS"", ""E->PLACE_BOUND"", ""F->BOTH_DIRECTIONS"", ""F->PLACE_BOUND"", ""M->BOTH_DIRECTIONS"", ""M->PLACE_BOUND"", ""Q60->BOTH_DIRECTIONS"", ""R->BOTH_DIRECTIONS"", ""R->PLACE_BOUND""]","[""E->BOTH_DIRECTIONS"", ""E->PLACE_BOUND"", ""F->BOTH_DIRECTIONS"", ""F->PLACE_BOUND"", ""M->BOTH_DIRECTIONS"", ""M->PLACE_BOUND"", ""R->BOTH_DIRECTIONS"", ""R->PLACE_BOUND""]","[""E->BOTH_DIRECTIONS"", ""E->PLACE_BOUND"", ""F->BOTH_DIRECTIONS"", ""F->PLACE_BOUND"", ""M->BOTH_DIRECTIONS"", ""M->PLACE_BOUND"", ""R->BOTH_DIRECTIONS"", ""R->PLACE_BOUND""]","[""Q60->BOTH_DIRECTIONS""]",[],True,False,True
50481,"Northbound R trains are rerouted in Manhattan and Queens because of a signal problem at Queens Plaza.

There is no northbound R service at 5 Av/59 St, Lexington Av/59 St or Queens Plaza. Northbound trains are running on the Q line from 57 St-7 Av to Lexington Av/63 St and then on the F line to 36 St (Queens), where they will resume making regular stops.

Expect extensive delays in N and W service in both directions. Expect delays in northbound Q and R service.

Alternatives

For service to 5 Av/59 St and Lexington Av/59 St, transfer to N and W trains at 57 St-7 Av. For service from those stations, take a southbound train to 57 St-7 Av and transfer to a rerouted northbound R train.

For service to/from Lexington Av/59 St, you can also walk between that station and Lexington Av/63 St, where rerouted northbound R trains are stopping. A free transfer will be available if you use your MetroCard.

For service to Queens Plaza, transfer to M trains at 34 St-Herald Sq. Or, take a northbound N or W train to nearby Queensboro Plaza. For service from Queens Plaza, take an M train.",NYCT Subway,01/15/2021 02:38:00 PM,"[""F"", ""M"", ""N"", ""Q"", ""R"", ""W""]","[""7"", ""N"", ""Q"", ""R"", ""W""]","[""N"", ""Q"", ""R"", ""W""]","[""F"", ""M""]","[""7""]","[""BOTH_DIRECTIONS"", ""NORTHBOUND"", ""SOUTHBOUND""]","[""BOTH_DIRECTIONS"", ""NORTHBOUND"", ""SOUTHBOUND""]","[""BOTH_DIRECTIONS"", ""NORTHBOUND"", ""SOUTHBOUND""]",[],[],"[""F->NORTHBOUND"", ""M->BOTH_DIRECTIONS"", ""N->BOTH_DIRECTIONS"", ""Q->NORTHBOUND"", ""R->NORTHBOUND"", ""W->BOTH_DIRECTIONS""]","[""7->SOUTHBOUND"", ""M->NORTHBOUND"", ""N->BOTH_DIRECTIONS"", ""N->NORTHBOUND"", ""N->SOUTHBOUND"", ""Q->NORTHBOUND"", ""R->NORTHBOUND"", ""W->BOTH_DIRECTIONS"", ""W->NORTHBOUND"", ""W->SOUTHBOUND""]","[""N->BOTH_DIRECTIONS"", ""Q->NORTHBOUND"", ""R->NORTHBOUND"", ""W->BOTH_DIRECTIONS""]","[""F->NORTHBOUND"", ""M->BOTH_DIRECTIONS""]","[""7->SOUTHBOUND"", ""M->NORTHBOUND"", ""N->NORTHBOUND"", ""N->SOUTHBOUND"", ""W->NORTHBOUND"", ""W->SOUTHBOUND""]",True,False,True
82734,"R W trains are delayed and/or re-routed in both directions while we troubleshoot a malfunctioning switch north of Whitehall St-South Ferry.

Downtown R trains are running on the Q line from Canal St to DeKalb Av. For service to/from bypassed stations, take a W train.

Downtown W trains are running on the R line into Brooklyn, then turning around at 36 St.

Brooklyn-bound R trains are running on the Q line from Canal St to DeKalb Av.

That means you'll wait longer for an uptown local train in Manhattan. For service to Astoria, take an N train.",NYCT Subway,07/26/2021 10:34:00 PM,"[""R"", ""W""]","[""R"", ""W""]","[""R"", ""W""]",[],[],"[""BOTH_DIRECTIONS"", ""BROOKLYN_BOUND"", ""DOWNTOWN"", ""UPTOWN""]","[""BOTH_DIRECTIONS"", ""DOWNTOWN"", ""PLACE_BOUND"", ""UPTOWN""]","[""BOTH_DIRECTIONS"", ""DOWNTOWN"", ""UPTOWN""]","[""BROOKLYN_BOUND""]","[""PLACE_BOUND""]","[""R->BOTH_DIRECTIONS"", ""R->BROOKLYN_BOUND"", ""R->DOWNTOWN"", ""W->BOTH_DIRECTIONS"", ""W->DOWNTOWN""]","[""N->PLACE_BOUND"", ""R->BOTH_DIRECTIONS"", ""R->DOWNTOWN"", ""R->PLACE_BOUND"", ""R->UPTOWN"", ""W->BOTH_DIRECTIONS"", ""W->DOWNTOWN""]","[""R->BOTH_DIRECTIONS"", ""R->DOWNTOWN"", ""W->BOTH_DIRECTIONS"", ""W->DOWNTOWN""]","[""R->BROOKLYN_BOUND""]","[""N->PLACE_BOUND"", ""R->PLACE_BOUND"", ""R->UPTOWN""]",False,True,True
21305,"There are extensive delays in 2, 3, 4 and 5 train service in both directions while our crews investigate a signal problem at President St.

To reduce congestion in Brooklyn:
-Some southbound 4 and 5 trains will end at Bowling Green.
-Some southbound 2 and 3 trains will end at Chambers St or Rector St on the 1 line.

For alternate service in Manhattan and Brooklyn, consider taking N, Q and R trains. Transfer points include:
-Times Sq - 42 St 2/3/N/Q/R
-59 St 4/5/N/R
-Atlantic Av - Barclays Ctr 2/3/4/5/N/Q/R",NYCT Subway,08/04/2020 01:10:00 PM,"[""1"", ""2"", ""3"", ""4"", ""5"", ""N"", ""Q"", ""R""]","[""1"", ""2"", ""3"", ""4"", ""5""]","[""1"", ""2"", ""3"", ""4"", ""5""]","[""N"", ""Q"", ""R""]",[],"[""BOTH_DIRECTIONS"", ""SOUTHBOUND""]","[""BOTH_DIRECTIONS"", ""SOUTHBOUND""]","[""BOTH_DIRECTIONS"", ""SOUTHBOUND""]",[],[],"[""1->SOUTHBOUND"", ""2->SOUTHBOUND"", ""3->SOUTHBOUND"", ""4->SOUTHBOUND"", ""5->BOTH_DIRECTIONS"", ""5->SOUTHBOUND"", ""N->BOTH_DIRECTIONS"", ""Q->BOTH_DIRECTIONS"", ""R->BOTH_DIRECTIONS""]","[""2->BOTH_DIRECTIONS"", ""2->SOUTHBOUND"", ""3->BOTH_DIRECTIONS"", ""3->SOUTHBOUND"", ""4->BOTH_DIRECTIONS"", ""4->SOUTHBOUND"", ""5->BOTH_DIRECTIONS"", ""5->SOUTHBOUND""]","[""2->SOUTHBOUND"", ""3->SOUTHBOUND"", ""4->SOUTHBOUND"", ""5->BOTH_DIRECTIONS"", ""5->SOUTHBOUND""]","[""1->SOUTHBOUND"", ""N->BOTH_DIRECTIONS"", ""Q->BOTH_DIRECTIONS"", ""R->BOTH_DIRECTIONS""]","[""2->BOTH_DIRECTIONS"", ""3->BOTH_DIRECTIONS"", ""4->BOTH_DIRECTIONS""]",True,False,True
380341,"Some southbound 5 trains are running via the 2 line from 149 St-Grand Concourse to Nevins St.
Expect delays on southbound 4/5 trains.",NYCT Subway,01/03/2025 08:47:00 PM,"[""2"", ""4"", ""5""]","[""2"", ""4"", ""5""]","[""2"", ""4"", ""5""]",[],[],"[""SOUTHBOUND""]","[""SOUTHBOUND""]","[""SOUTHBOUND""]",[],[],"[""2->SOUTHBOUND"", ""4->SOUTHBOUND"", ""5->SOUTHBOUND""]","[""4->SOUTHBOUND"", ""5->SOUTHBOUND""]","[""4->SOUTHBOUND"", ""5->SOUTHBOUND""]","[""2->SOUTHBOUND""]",[],False,False,True
90866,"Jamaica-bound E F and Forest Hills-bound M R trains are delayed and/or rerouted because of a switch problem near 75 Av.

Jamaica-bound E F trains are running on the local track from Jackson Hts-Roosevelt Av to Forest Hills-71 Av.

Some Queens-bound trains will end in Manhattan to reduce congestion:
Some Jamaica-bound E trains will run on the C line from 50 St to 168 St, the last stop.
Some Forest Hills-bound R trains will run on the Q line from 57 St-7 Av to 96 St, the last stop.
Northbound B C Q trains may experience delays while they share the tracks with rerouted trains.",NYCT Subway,09/13/2021 10:43:00 PM,"[""B"", ""C"", ""E"", ""F"", ""M"", ""Q"", ""R""]","[""B"", ""C"", ""E"", ""F"", ""M"", ""Q"", ""R""]","[""B"", ""C"", ""E"", ""F"", ""M"", ""Q"", ""R""]",[],[],"[""NORTHBOUND"", ""PLACE_BOUND"", ""QUEENS_BOUND""]","[""NORTHBOUND"", ""PLACE_BOUND""]","[""NORTHBOUND"", ""PLACE_BOUND""]","[""QUEENS_BOUND""]",[],"[""B->NORTHBOUND"", ""C->NORTHBOUND"", ""C->PLACE_BOUND"", ""E->PLACE_BOUND"", ""F->PLACE_BOUND"", ""M->PLACE_BOUND"", ""Q->NORTHBOUND"", ""Q->PLACE_BOUND"", ""R->PLACE_BOUND""]","[""B->NORTHBOUND"", ""C->NORTHBOUND"", ""C->PLACE_BOUND"", ""E->PLACE_BOUND"", ""F->PLACE_BOUND"", ""M->PLACE_BOUND"", ""Q->NORTHBOUND"", ""Q->PLACE_BOUND"", ""R->PLACE_BOUND""]","[""B->NORTHBOUND"", ""C->NORTHBOUND"", ""C->PLACE_BOUND"", ""E->PLACE_BOUND"", ""F->PLACE_BOUND"", ""M->PLACE_BOUND"", ""Q->NORTHBOUND"", ""Q->PLACE_BOUND"", ""R->PLACE_BOUND""]",[],[],False,True,False
56954,"B D Q service is disrupted while we move a train with a mechanical problem off of the Manhattan Bridge.

B Trains
In Brooklyn, northbound trains are only running from Brighton Beach to Prospect Park, the last stop.

Any trains that have passed Prospect Park will run on the N line from Canal St to Times Sq-42 St, the last stop.

D Trains
Northbound trains that depart from Coney Island-Stillwell Av are running on the F line from to Broadway-Lafayette St.

Trains that are in Brooklyn and have already departed will run on the N line from DeKalb Av to 57 St-7 Av and then on the Q line to 96 St, the last stop.

Q Trains
Some northbound trains are running on the N line from Coney Island-Stillwell Av to DeKalb Av.",NYCT Subway,02/19/2021 01:52:00 PM,"[""B"", ""D"", ""Q""]","[""B"", ""D"", ""Q""]","[""B"", ""D"", ""Q""]",[],[],"[""NORTHBOUND""]","[""NORTHBOUND""]","[""NORTHBOUND""]",[],[],[],"[""B->NORTHBOUND"", ""D->NORTHBOUND"", ""F->NORTHBOUND"", ""N->NORTHBOUND"", ""Q->NORTHBOUND""]",[],[],"[""B->NORTHBOUND"", ""D->NORTHBOUND"", ""F->NORTHBOUND"", ""N->NORTHBOUND"", ""Q->NORTHBOUND""]",False,False,True
102550,"The following BxM7 buses will not run today -
Bronx-bound 4:48pm.
Manhattan-bound 6:30pm. 
Check for updates before traveling.",NYCT Bus,11/08/2021 07:05:00 PM,"[""BxM7""]","[""BxM7""]","[""BxM7""]",[],[],"[""BRONX_BOUND"", ""MANHATTAN_BOUND""]","[""PLACE_BOUND""]",[],"[""BRONX_BOUND"", ""MANHATTAN_BOUND""]","[""PLACE_BOUND""]",[],"[""BxM7->PLACE_BOUND""]",[],[],"[""BxM7->PLACE_BOUND""]",False,True,True
82454,"There is no southbound R service at Queens Plaza, Lexington Av/59 St or 5 Av/59 St while we investigate what activated a train's brakes near Queens Plaza.

Southbound R trains are running on the F line from 36 St to Lexington Av/63 St and then on the Q line to 57 St-7 Av.

Expect longer waits for southbound R trains.",NYCT Subway,07/24/2021 04:24:00 PM,"[""R""]","[""R""]","[""R""]",[],[],"[""SOUTHBOUND""]","[""SOUTHBOUND""]","[""SOUTHBOUND""]",[],[],"[""R->SOUTHBOUND""]","[""F->SOUTHBOUND"", ""Q->SOUTHBOUND"", ""R->SOUTHBOUND""]","[""R->SOUTHBOUND""]",[],"[""F->SOUTHBOUND"", ""Q->SOUTHBOUND""]",False,False,True
78316,"There is no northbound F service at 57 St, Lexington Av/63 St, Roosevelt Island, or 21 St-Queensbridge while we investigate what activated a train's brakes at Lexington Av/63 St.

Northbound F trains are running on the M line from 47-50 Sts-Rockefeller Ctr to Queens Plaza and then on the E line to Jackson Hts-Roosevelt Av.

Expect delays in northbound service.

If your stop is skipped, take a southbound train.

Alternatives
For service to 57 St, take rerouted F trains to 5 Av/53 St or take Q trains to 57 St-7 Av. For service from this station, take a southbound train to 47-50 Sts-Rockefeller Ctr and transfer to a northbound train.

For service to Lexington Av/63 St, take Q trains by transferring at 34 St-Herald Sq. For service from this station, take a southbound train to 47-50 Sts-Rockefeller Ctr and transfer to a northbound train.

For service to Roosevelt Island, take a northbound Q train to Lexington Av/63 St and transfer to the Roosevelt Island Tram with your MetroCard. For service from that station, take a southbound train to 47-50 Sts-Rockefeller Ctr and transfer to a northbound train.

For service to/from 21 St-Queensbridge, use nearby Queens Plaza where E M and rerouted F service is available.",NYCT Subway,06/25/2021 10:58:00 AM,"[""F""]","[""F""]","[""F""]",[],[],"[""NORTHBOUND"", ""SOUTHBOUND""]","[""NORTHBOUND"", ""SOUTHBOUND""]","[""NORTHBOUND"", ""SOUTHBOUND""]",[],[],"[""F->NORTHBOUND"", ""F->SOUTHBOUND""]","[""E->NORTHBOUND"", ""F->NORTHBOUND"", ""F->SOUTHBOUND"", ""M->NORTHBOUND"", ""Q->NORTHBOUND"", ""Q->SOUTHBOUND""]","[""F->NORTHBOUND"", ""F->SOUTHBOUND""]",[],"[""E->NORTHBOUND"", ""M->NORTHBOUND"", ""Q->NORTHBOUND"", ""Q->SOUTHBOUND""]",False,False,True
